,user_name,user_location,date,text,rating
0,Bot TUSCA 2022,Arena Tusca,2022-09-11 15:01:17+00:00,Faltam 62 dias para o início do TUSCA,
1,vi(ado)🧜🏻‍♀️,Teyvat,2022-09-11 14:39:26+00:00,gente contei pros meus pais da tusca e ganhei uma galocha KKKKKK eu amo o incentivo,
2,"segundo o cantor crazy frog em sua canção,",ela/dela,2022-09-11 14:33:24+00:00,comentei c meus pais q precisava comprar galocha pro tusca e eles apareceram com 5 galochas q tinham em casa p eu experimentar ¿¿,
3,Marina Moraes 🖖🏻,"Bauru, Brasil",2022-09-11 13:47:42+00:00,Ontem foi comprovado que eu não consigo mais emendar um rolê de tarde cm um de noite. Tô ficando preocupada cm o tusca kkkkk,
4,juu,,2022-09-11 13:43:37+00:00,@11Csss @Maria93596742 a tusca também me contou que já te vendia,
5,leo 🍍,"São Paulo, Brasil",2022-09-11 12:58:30+00:00,Pensando em ir no tusca esse ano,
6,Big Eric 🦚,"Denver, CO",2022-09-11 04:18:36+00:00,@MoraesCarolP Pelo menos eu vou ver Luísa Sonza e L7nnon no tusca 😓 queria Post Malone lá,
7,fefo,Veni Vidi Vici,2022-09-11 03:18:40+00:00,Filipe Ret no Tusca vai distribuir marmita. Atitude muito foda!  😍,
8,HATER MÉDIO DO AT5,"São Carlos, Brasil",2022-09-11 02:46:50+00:00,qndo vão anunciar a slipmami no palco mundo do tusca?????,
9,Giovane Moretto (Ayrton Senna),,2022-09-11 01:12:57+00:00,Segunda volto pra dieta para o projeto Tusca,
10,Dudu,,2022-09-11 01:03:00+00:00,Compro tusca lotes anteriores alguém me socorre ksksksksk,
11,𝐶𝑎𝑚𝑖,na sua ,2022-09-11 00:59:03+00:00,"Ouvindo Matheus e kauan se preparando pro tusca, QUE SABOOOR",
12,rani beibe ✨⭐🌟,,2022-09-11 00:49:45+00:00,"Ô meu amor, não sobrevivo a duas horas de Tusca na atual conjuntura 😭😭😭 https://t.co/eh8WqCkHTw",
13,Davi colozio,,2022-09-11 00:29:54+00:00,"RT @luanabeatrizvaz: Vendo pacote tusca estudante 
Passo cartão mas tem taxa 

*Não sou golpista por favor alguém compraaaaaaa*",
14,engenha-nica // 📖: Misery,"São Paulo, Brasil",2022-09-10 23:30:05+00:00,so quero comprar bailão passar minhas matérias (não conto DM) e ir na 25 comprar coisas aleatorias pro tusca,
15,aang,,2022-09-10 22:33:59+00:00,@jonas_abib se não vier no halloween da ies vai vir no tusca,
16,Habibão🫰🏽😜,"Ribeirão Preto, Brasil",2022-09-10 22:25:13+00:00,@aridante__ Se n pintar pro tusca nem apareça,
17,Giulia Souza,"Campinas, Brasil",2022-09-10 20:21:11+00:00,"Meu colete do tusca pode estar escrito “É só cachaça, pinga e Giulia”",
18,Giugiu,⟭⟬,2022-09-10 19:02:16+00:00,Eu proponho vir a galera collector pro tusca aqui em são carlos e a gnt faz uma troca de pc na praça #boicotecorreios,
19,luli,,2022-09-10 18:49:18+00:00,@anacaaroliny_ Ana c onde a gente vai ficar no tusca menina????? Precisamos ver isso ja,
20,marco,,2022-09-10 17:34:25+00:00,@ypazzynn É OBRIGATÓRIO IR PRO TUSCA,
21,glitter and gold ✨,,2022-09-10 17:23:50+00:00,a Stezinha na 25 fazendo compras pras emuxinhas no tusca 😍 https://t.co/ZTRPB8EMBF,
22,jogador do botafofo,FUDERJ,2022-09-10 17:17:28+00:00,@ypazzynn SEGUNDO SEMESTRE? OBRIGAÇÃO IR NO TUSCA. MANDA BEM NAS PRIMEIRAS PROVAS QUE É DALE,
23,aang,,2022-09-10 17:02:17+00:00,lia clark chame a pepita pra cantar chifrudo no tusca pelo amor de deus esse seria simplesmente o maior momento de todos,
24,Bolis,Sao Carlos,2022-09-10 16:56:07+00:00,"eu to MUITO ansiosa pra tusca
CHEGA LOGO CARALHOO",
25,Gabriela,São José dos Campos,2022-09-10 16:37:20+00:00,@_liribeiroo pq eu tenho jogos em nova friburgo na mesma época (inclusive se souber de alguém que vai comprar o tusca me fala),
26,im so sick of bolsonar*,"São Carlos, Brasil",2022-09-10 16:15:49+00:00,acabei de me tocar que comprei uma viagem NA SEMANA do halloween da ies e agora estou inconsolável pois vou perder o melhor evento sao carlense depois do tusca,
27,renan gurgel 🩸,"São Paulo, Brasil",2022-09-10 16:14:41+00:00,"@daylimns Bora pro Tusca no interior, Day! Vai ter show dela e vai ser TUDO.",
28,Rafael,"Franca, Brasil",2022-09-10 15:49:56+00:00,@cgmeloo tusca 100% o melhor,
29,O’Gusta 29/10 🧟‍♂️,"Ibitinga, Brasil",2022-09-10 15:27:44+00:00,"vou fazer excursão pro Tusca, O inter, Interfacul Verão e talvez fogo na roupa",
30,Bot TUSCA 2022,Arena Tusca,2022-09-10 15:01:07+00:00,Faltam 63 dias para o início do TUSCA,
31,julião,,2022-09-10 14:24:07+00:00,@prado_julia Só não te chamo pro tusca esse ano pq vamos pro último ju mineiro como unifalinos rsrs,
32,Júlia,"Minas Gerais, Brasil",2022-09-10 14:22:57+00:00,"@juliomendes97 KKKKKKKKKKKK amigo, as chances são baixíssimassssssss! me chama pro tusca, mas não me chama pro rock in rio pfvr",
33,MarceloJr,"São Carlos, Brasil",2022-09-10 13:23:23+00:00,tira essa vontade de descolorir o cabelo pro tusca,
34,isa barros,,2022-09-10 12:26:41+00:00,@larelves bom dia comprei tusca rs,
35,Artur Barbedo,,2022-09-10 12:04:17+00:00,Kapi curte aqui se vai ter João Gomes no tusca pf,
36,Miguel Moraes,Narnia ,2022-09-10 11:34:54+00:00,"Eu ia pegar folga dia 14 e 15 por conta do tusca, só que a gente vai trabalhar dia 19 que é sábado, mas dia 18 e 19 eu tenho aula, muito ruim eu tirar 4 folgas na semana?",
37,estela =estrela ou stella depende de vc!,"Ceara ,Ribeirão preto e …",2022-09-10 04:52:22+00:00,"Desculpa ,mas me vejo indo no tusca até os 98 anos https://t.co/BSdaz8CEnv",
38,nagalli he sent me the magic,"Maringá, Brasil",2022-09-10 04:21:29+00:00,"RT @JoaoGabrielSF2: Infelizmente acabou a competitividade. Não existe mais nenhum adversário a altura da @educauem no JUS. Talvez, a exempl…",
39,Juliª,,2022-09-10 04:11:34+00:00,"Moradores da Cidade de Seu Carlos, me contem as maiores atrocidades q vcs já presenciaram no TUSCA
Vou fazer um vídeo falando como é morar em São Carlos",
40,Diogo,"Astorga, Brasil",2022-09-10 02:02:46+00:00,"RT @JoaoGabrielSF2: Infelizmente acabou a competitividade. Não existe mais nenhum adversário a altura da @educauem no JUS. Talvez, a exempl…",
41,Ricardo,?,2022-09-10 01:53:59+00:00,Surtei e comprei o tusca. Fodase,
42,Gustavox,,2022-09-10 00:56:12+00:00,"Rifar um anão pra conseguir ir no tusca, válido?",
43,Bergolino,"Jaú, Brasil",2022-09-10 00:50:24+00:00,"Se o Tusca anunciar o João Gomes, serei muito mais feliz",
44,"Polissexus, o voluptuoso ☭",,2022-09-09 23:58:33+00:00,@irmaodokaire_ @rogerioskylab Dai na volta ce ja vem pro tusca,
45,Faouzia's little bitch,ele/dele seke,2022-09-09 23:53:40+00:00,O Exxxpurgo de Nárnia vai ser na mesma semana do tusca 🫠,
46,Zé Luca 🐭,,2022-09-09 23:13:54+00:00,"Não paro de pensar nele:
João Gomes no Tusca",
47,Mands,Brazil,2022-09-09 23:04:45+00:00,Claramente ela tava voltando do Tusca https://t.co/CAuoJhRGiR,
48,isa,Sumaré,2022-09-09 22:58:11+00:00,parece q ta saindo do tusca ta ate com o chapeuzinho e toda suja de tinta https://t.co/zKZxmyXJ6n,
49,bru HEPTA FURIA,"Maringá, Brasil",2022-09-09 22:39:53+00:00,"RT @JoaoGabrielSF2: Infelizmente acabou a competitividade. Não existe mais nenhum adversário a altura da @educauem no JUS. Talvez, a exempl…",
50,Pogere,,2022-09-09 21:53:46+00:00,"RT @JoaoGabrielSF2: Infelizmente acabou a competitividade. Não existe mais nenhum adversário a altura da @educauem no JUS. Talvez, a exempl…",
51,Victor Tasso,,2022-09-09 20:42:31+00:00,"RT @luanabeatrizvaz: Vendo pacote tusca estudante 
Passo cartão mas tem taxa 

*Não sou golpista por favor alguém compraaaaaaa*",
52,Tusca,São Carlos,2022-09-09 20:40:04+00:00,RT @BotTusca: Faltam 64 dias para o início do TUSCA,
53,migué,,2022-09-09 20:39:41+00:00,RT @BotTusca: Faltam 64 dias para o início do TUSCA,
54,Tibas,"Franca, Brasil",2022-09-09 20:31:11+00:00,"RT @luanabeatrizvaz: Vendo pacote tusca estudante 
Passo cartão mas tem taxa 

*Não sou golpista por favor alguém compraaaaaaa*",
