,user_name,user_location,date,text,rating
0,Vitinho da Burô,"Brasília, Brazil",2022-10-05 00:03:26+00:00,"Minha irmã tá no terceirão e vai para Porto Seguro sábado, ela me falou que vai levar a blusa, corta, caneca, tirante da burocratas e a Juju que dei de presente para ela, por tanto entendi que ela entrando na federal será membro de atlética, lhe desejo sorte irmã 🙏🏽",
1,Lele,,2022-09-30 15:46:10+00:00,"A minha é federal e nem atlética tem direito, que dira toda essa balbúrdia https://t.co/NWtpvQ4NJr",
2,SegredosUnifesp,,2022-09-30 03:55:34+00:00,"420. ""Ae @siriloko aprende com a atlética de SJC e faz um lote pro inter com preço para aluno de faculdade federal. Se formar 1 time para os jogos já é muito… vai ficar feio no inter"" #SegredosBS",
3,Dany 👊,,2022-09-29 17:39:23+00:00,RT @luannachuq: @claysonfelizola A nossa atlética da Humanas da Universidade Federal de Uberlândia fez essa aqui tbm muito linda. Garanto q…,
4,"Com Amor, Leitora",,2022-09-29 17:36:58+00:00,@claysonfelizola A nossa atlética da Humanas da Universidade Federal de Uberlândia fez essa aqui tbm muito linda. Garanto q mais barata q essa kk https://t.co/TXTggBtWFL,
5,n,19 ,2022-10-02 13:30:36+00:00,andando pra la e pra ca com blusa de atletica da federal o maximo de loucura que posso conceder morando nesse cu de mundo bolsoninho,
6,zmiu,"porto velho, ro",2022-09-26 14:49:30+00:00,atletica d med da federal voces tinham tudo p ser lindos mas as cores sao tao feinhas,
7,cacu,"porto velho, ro",2022-09-26 14:49:30+00:00,atletica d med da federal voces tinham tudo p ser lindos mas as cores sao tao feinhas,
8,Gustavo Brauner 13⭐️,"Pelotas, Brasil.",2022-09-23 19:23:13+00:00,"Acho muito louco esses silogismos utilizados por alguns candidatos que foram reconhecidos em outros campos, como de tivesse QUALQUER CONEXÃO.

É tipo: “fui medalhista olímpico em marcha atlética, agora quero ser medalhista em Brasilia como seu candidato a deputado federal!”",
9,mey,"Rio de Janeiro, Brasil",2022-09-23 01:32:42+00:00,@todajuliana ainda ocupará cargo na Diretoria de Eventos da Atlética de Letras da Faculdade de Letras da Universidade Federal do Rio de Janeiro,
