,user_name,user_location,date,text,rating
0,Renato,"Araraquara, Brasil",2022-09-28 15:08:55+00:00,@tiagodente @RitaLisauskas Nem UNESP. Quanto mais INTERUNESP.,
1,karine neri,,2022-09-28 12:59:28+00:00,@tiagodente @RitaLisauskas Ele não deve nem saber o q é interunesp !!,
2,MENOR APRENDIZ,,2022-09-28 12:18:38+00:00,quatro convites universitários do interunesp no precinho e ainda passo cartão 🥲 preciso vendeeeer,
3,1/2 neuronio da hell 5️⃣0️⃣1️⃣0️⃣ 5️⃣0️⃣1️⃣1️⃣0️⃣,"São José do Rio Preto, Brasil",2022-09-28 11:34:38+00:00,"sem zoeira, se esse for mesmo o valor, vou p tusca ou interunesp

o &gt;&gt;tusca&lt;&lt; tá no 4º lote e tá mais barato q essa patifaria aí, sério",
4,Tiago Vilas Boas,Brasília-DF,2022-09-28 03:42:06+00:00,"@RitaLisauskas Sr Tarcísio, 
a USP tem ou não tem Interunesp?
por que o corso foi proibido?
qual Mogi fica mais perto de Campinas?
qual cidade é mais distante do centro da Terra, Presidente Epitácio ou Presidente Prudente?
o que vc achou de Jurucê?
A Albertina será prestigiada no seu governo?",
5,𝕷𝖎𝖆🔮 ג'וליה,"São Paulo, Brasil",2022-09-28 00:10:47+00:00,Caralho a atlética tá viajando porque 600 reais num inter ruim desse é de fudê nem é um interunesp da vida ou tusca,
6,gmsant 🐋 humor: ªªªª,"São José dos Campos, Brasil",2022-09-27 22:28:52+00:00,"só queria vender meu ingresso do interunesp
ALÔ ALÔ",
7,lau,,2022-09-27 17:48:47+00:00,"vendo interunesp 
preço do terceiro lote sem a taxa",
8,Unesp_TV,Brasil,2022-09-26 22:33:03+00:00,Festival Interunesp de MPB recebe inscrições até 30 de setembro https://t.co/sHRneXIUoJ https://t.co/dxZ1BehQbv,
9,Matheus 2️⃣4️⃣🐍,,2022-09-26 21:39:16+00:00,Interunesp ou banco inter? Só o tempo dirá https://t.co/DUHFgUbp3Q,
10,Manuzinha,,2022-09-26 21:35:59+00:00,"RT @cpsemanuelle: VENDO 2 INGRESSOS INTER UNESP
(PACOTE ESTUDANTE)
No precinho, chama dm
@magianeis 
#interunesp",
11,manuzinha,,2022-09-26 21:35:15+00:00,"VENDO 2 INGRESSOS INTER UNESP
(PACOTE ESTUDANTE)
No precinho, chama dm
@magianeis 
#interunesp",
12,Douglas Cossi/ilhadenoticias.com 💉🐊,Ilha Solteira/SP - Brasil ,2022-09-26 13:41:36+00:00,"Inscrições para os Festivais MPB e Interunesp vão até sexta. #ilhasolteira #ilhadenoticias #festival #música #mpb #interunesp

https://t.co/NZEj0JRmXs",
13,Caetano Máximo,,2022-09-26 11:20:04+00:00,Pensando em não ir no interunesp…. Será q vou me arrepender?,
14,gabs,na merda ,2022-09-25 21:30:35+00:00,"A Ludmila vai tocar no interunesp e quando ela cantar ""maldivas"" eu vou chorar tantooooooooo. Tudo que eu não chorei, nesse show vou  chorar",
15,leitão de sabonete,,2022-09-23 10:09:05+00:00,esse é o almoço que servem no interunesp https://t.co/ltFziXE2vM,
16,Pedro,,2022-09-23 02:55:44+00:00,Como que controla a ansiedade para o Interunesp?,
17,Auanna 🎣,,2022-09-23 02:26:37+00:00,vivendo pelo interunesp,
18,Franja,,2022-09-22 23:05:25+00:00,"Seguindo o exemplo do Tarcísio, vou tentar ser vereador em Araraquara em 2024, tenho fortes laços afetivos lá. Fui em 3 Interunesp na cidade, conheço muito bem o Gigantão.",
19,Denzão,"Marília, Brasil",2022-09-22 22:06:38+00:00,"Tô inscrito pra jogar o Interunesp 
Pós base do Santos em 2013 essa é a maior oportunidade da minha vida. Chegou a hora de eu me provar, chegou a hora da Unesp de Marília ser campeã, e eu cheguei pra ser TO e ser campeão, EU VOU BUSCAR ESSE TÍTULO CUSTE O QUE CUSTAR",
20,Bié,,2022-09-22 20:25:29+00:00,"Candidato Tarcísio, por que a USP não tem InterUnesp?",
21,Douglas Cossi/ilhadenoticias.com 💉🐊,Ilha Solteira/SP - Brasil ,2022-09-22 15:57:24+00:00,"Festival Interunesp de MPB, que volta após seis anos, prorroga inscrições. #ilhasolteira #ilhadenoticias #festival #música #interunesp #unesp

https://t.co/RRj59w38Q5",
22,Frontier Dynamics,,2022-09-22 00:16:19+00:00,@rafaelbboa Parece aquelas camisetas do interunesp no fim de festa.,
23,MZ, 🏳️‍🌈 𓈒 ⚢ 𓈒 7𓈒 ❖,2022-09-21 04:47:20+00:00,aqui a pouco elas tão lá no InterUnesp pra me ver u.u https://t.co/hNRI23HWD8,
24,MENOR APRENDIZ,,2022-09-20 23:25:50+00:00,"ninguém quer comprar quatro convas dos interunesp não? 🥹 374,00 cada um e ainda passo no cartão",
25,Duarte,,2022-09-20 21:41:45+00:00,"Caralho interunesp nao tem nem vergonha na cara, la vem o Tusca anunciando a Ludmilla tbm hahahah, que bom que mudei 🙏🏻",
26,xixi boiola,Brasil,2022-09-20 17:24:35+00:00,Ok pesquisa real quem aqui vai no interunesp??????,
27,1/2 do neuronio da hellenzinha,"São José do Rio Preto, Brasil",2022-09-28 11:34:38+00:00,"sem zoeira, se esse for mesmo o valor, vou p tusca ou interunesp

o &gt;&gt;tusca&lt;&lt; tá no 4º lote e tá mais barato q essa patifaria aí, sério",
28,Vitinho,,2022-09-20 03:33:37+00:00,Intersexual: só beijar pessoas no InterUnesp (chora tusca) https://t.co/ayJTeTuOVW,
