,user_name,user_location,date,text,rating
0,PALMEIRAS sempre,,2022-09-28 17:21:45+00:00,"RT @brom_elisa: Agora a esquerda surta!🙃🙃

@neymarjr agradecendo a visita do Presidente @jairbolsonaro da Primeira Dama Michelle Bolsonaro…",
1,furikake furiosa,Brasil,2022-09-28 17:17:46+00:00,"A Thalma é linda &lt;3 eu conheci ela pessoalmente em um festival Contato aqui em Sanca. Ela cantou com o Instituto em um projeto homenageando Tim Maia.

❤️",
2,PALMEIRAS sempre,,2022-09-28 16:32:11+00:00,RT @nikolas_dm: Imagina se é o Bolsonaro fazendo isso… surreal. https://t.co/kHtknOAAgX,
3,Hermes,,2022-09-28 15:35:46+00:00,"RT @Rconstantino: Multidão nas ruas de Medellin, na Colômbia, contra o governo do ex-guerrilheiro Petro, apoiado por Lula. Arrependimento i…",
4,Joca,,2022-09-28 15:34:29+00:00,"E eu que fiz uma sanca de gesso na casa da minha mãe com RGB, e todo dia meus irmãos fazem uma discoteca na casa kkkk",
5,julia 🤍,:-),2022-09-28 15:28:50+00:00,"isso me lembrou festinha no sanca, agr me deu depressao https://t.co/BBfmZ4Rt3d",
6,Lima,,2022-09-28 14:51:18+00:00,um puta homi gostoso dando em cima de mim e eu só pensando no meu neném que já deve ter marcado com umas 20 antes de vim pra sanca,
7,jhonatan,,2022-09-28 14:16:59+00:00,"hj é só em sanca, Piracicaba e ribeirão gente😭",
8,Yasmin,"São Paulo, Brasil",2022-09-28 13:23:59+00:00,O único ponto negativo de ir pra sanca é que depois eu fico 1 semana deprimida em São Paulo pensando em como seria minha vida lá,
9,Brunelli,São Paulo - SP,2022-09-28 12:42:08+00:00,Esse dia chuvosso aqui em Sanca City tá osso,
10,PALMEIRAS sempre,,2022-09-28 11:49:59+00:00,@UOLNoticias Roubar denovo,
11,PALMEIRAS sempre,,2022-09-28 11:39:42+00:00,"RT @RoboPatriotaa: ⛔️ URGENTE - Alexandre de Moraes ultrapassou todos os Limites!

""Você mexer comigo é uma coisa. Você mexer com a minha e…",
12,codamina 💙🌹#12,,2022-09-28 11:32:04+00:00,"RT @TiredTransistor: Galerinha de Sanca, entusiastas de cultura japonesa ou q conhecem gente q é, peço ajuda pra divulgarem o evento que a…",
13,PALMEIRAS sempre,,2022-09-28 10:55:43+00:00,"RT @ZattarRafael: É só mais um celular roubado. 
Roubou pra ganhar um dinheirinho, coitado. https://t.co/5OXKlV2KOB",
14,Hermes,,2022-09-28 09:56:22+00:00,RT @gustamito22: Altinho-PE. https://t.co/8IxQUZ4ZwW,
15,Hermes,,2022-09-28 09:55:38+00:00,"RT @Vinheteiro: O cidadão sai de casa, tranca
a janela, põe cadeado na grade, fecha a porta com 3 fechaduras, tira o carro da garagem, para…",
16,paiN Nut,"Campinas, São Paulo.",2022-09-28 09:38:46+00:00,"RT @TiredTransistor: Galerinha de Sanca, entusiastas de cultura japonesa ou q conhecem gente q é, peço ajuda pra divulgarem o evento que a…",
17,PALMEIRAS sempre,,2022-09-28 05:35:18+00:00,RT @viniciuscfp82: FICHA CORRIDA! Ciro Gomes conta os podres do passado e do presente de Lula. Eu continuo é torcendo pela briga dos dois.…,
18,PALMEIRAS sempre,,2022-09-28 04:44:02+00:00,"RT @FlaviaMSoares76: Desconfio também, assim como foi aqui🇺🇸 https://t.co/8FQye73lFm",
19,setembru ☭,he/she/they,2022-09-28 03:45:59+00:00,"RT @TiredTransistor: Galerinha de Sanca, entusiastas de cultura japonesa ou q conhecem gente q é, peço ajuda pra divulgarem o evento que a…",
20,PALMEIRAS sempre,,2022-09-28 03:03:18+00:00,RT @DCNewsBrasil: Daniel RPK é mais um a afirmar que O Henry Cavill está de volta como Superman no DCEU https://t.co/Lz6MlEyj17,
21,malu,fury road,2022-09-28 02:54:09+00:00,@gabsflvs Vc corta rm sanca?,
22,wic「ヴィキトル」,,2022-09-28 02:50:10+00:00,"RT @TiredTransistor: Galerinha de Sanca, entusiastas de cultura japonesa ou q conhecem gente q é, peço ajuda pra divulgarem o evento que a…",
23,ArsenicCatnip:33,"São Carlos, Brasil",2022-09-28 02:07:00+00:00,"Galerinha de Sanca, entusiastas de cultura japonesa ou q conhecem gente q é, peço ajuda pra divulgarem o evento que a galera do Seinen de São Carlos(grupo jovem da associação nipo br) está fazendo para divulgar os diferentes grupos vinculados.
Vai ser essa quinta, entrada grátis! https://t.co/XcUDSB5rs1",
24,Quirera com quiabo,,2022-09-28 02:04:04+00:00,Acho que ir embora de sanca é a minha maior motivação pra terminar o mestrado,
25,Verbal Kint,,2022-09-28 01:59:24+00:00,@bianickelsen Só tem a raspa de sanca,
