,user_name,user_location,date,text,rating
0,𝕷𝖎𝖆🔮 ג'וליה,"São Paulo, Brasil",2022-09-28 00:31:41+00:00,Se o Haddad não ganhar o tusca vai acabar!!!!,
1,Dollynho reclama da atlética,,2022-09-28 00:25:37+00:00,"Eu não sei pq eu ainda penso que vão trazer alguma coisa nova no tusca, eu ja devia ter aceitado que é 2019.2, só falta Falamansa e Natiruts",
2,Vivian,,2022-09-28 00:23:24+00:00,@caiopilotto_ Apaga vc tá errado tusca não errou uma até agora,
3,Pocket Tweets,,2022-09-28 00:21:34+00:00,@griloso37 MEEEEEEEEEEE cagou o kit tusca inteiro ctz,
4,gabriel,,2022-09-28 00:19:20+00:00,ainda sem acreditar q eu vou no tusca,
5,mare 🌊,,2022-09-28 00:16:29+00:00,caralho o tusca vai ser a festa mais foda da minha vida COM TODA CERTEZA,
6,VANELLOPE VAI AO TUSCA,,2022-09-28 00:15:15+00:00,"AAAAAAA E EU GANHEI O TUSCA DA LAURP!!!

Grata demais por toda ajuda e apoio que tive de amigos e familiares! ❤️",
7,mare 🌊,,2022-09-28 00:13:55+00:00,PUTA QUE PARIU O TUSCA VAI SER FODA DEMAIS TO QUASE CHORANDO DESGRAÇA,
8,𝕷𝖎𝖆🔮 ג'וליה,"São Paulo, Brasil",2022-09-28 00:13:39+00:00,Vai ter atração do justin Bieber nesse inter pq pqp o preço tá mais caro que o tusca aí aí tusca sempre será reizinho dos inters,
9,𝕷𝖎𝖆🔮 ג'וליה,"São Paulo, Brasil",2022-09-28 00:10:47+00:00,Caralho a atlética tá viajando porque 600 reais num inter ruim desse é de fudê nem é um interunesp da vida ou tusca,
10,the colour was red e eu sou 13,"São Carlos, Brasil",2022-09-28 00:01:27+00:00,Quero entornar tanta cachaça no tusca q irei esquecer até que to em sanca juro pra vcs,
11,dj kafu da sm na copa,São Carlos - SP,2022-09-28 00:00:24+00:00,"dois anos sem tusca pra fazerem um remake de 2019, aí é foda",
12,dj kafu da sm na copa,São Carlos - SP,2022-09-27 23:59:30+00:00,se o inter fosse em araraquara eu trocaria fácil o tusca esse ano,
13,ca | 📖:,,2022-09-27 23:59:14+00:00,Eita é o dj gbr (confirmado no tusca apenas),
14,Gui 13 ⭐️,São Sebastião do Paraíso - MG,2022-09-27 23:58:59+00:00,Que venha os ingressos individuais do Tusca pra eu comprar 😁,
15,Karen,,2022-09-27 23:58:22+00:00,"Tô sentindo que o tusca vai ser tudo de bom, cada dia mais ansiosa pra viver essa experiência",
16,dra daolança,Brasil,2022-09-27 23:58:13+00:00,"tusca decepcionante
vo precisar de 5g de md pra curtir os shows repetidos",
17,tai,,2022-09-27 23:54:20+00:00,preciso juntar material com o kaique pra provar pra minha mae que eu nao vou ser desovada se for no tusca 😭😭😭,
18,Madu,,2022-09-27 23:51:05+00:00,E a vontade de ir no tusca??? Tá gigantesca,
19,maria,piracity,2022-09-27 23:45:45+00:00,"por falar em tusca, não tem mais nenhum quarto de hotel disponível, meu plano foi p o ralo, e agr @itneverendx",
20,Ava 2 UFSCar,"São Carlos, Brasil",2022-09-27 23:43:26+00:00,RT @Guedoness: que surpresa gbr no tusca!!! Quem esperava por isso????,
21,helô,sanca/sjc,2022-09-27 23:42:09+00:00,realmente pegaram o tusca 2019 e meteram no tusca 2022,
22,fredderica,,2022-09-27 23:38:59+00:00,"@DaniFerezin do bajaa, ajuda nois dani❤️❤️
vamo sortear um kit tusca",
23,Ma❤️‍🔥,,2022-09-27 23:38:53+00:00,Ai ai dj gbr no Tusca que delicia 🤩,
24,maria,piracity,2022-09-27 23:38:49+00:00,a sorte q vou ver ela no tusca!!!,
25,sexossauro,,2022-09-27 23:36:04+00:00,que surpresa gbr no tusca!!! Quem esperava por isso????,
26,Julha pistolinha,"São Paulo, Interior ",2022-09-27 23:31:36+00:00,"Francamente, péssimo não ser mais universitária e ter que escolher UM SÓ DIA pra ir no Tusca",
27,roriz,,2022-09-27 23:30:14+00:00,"@joaopedroolopes GBR vai tá no Ju, Tusca e LIU. O brabo tem nome kkkkkk",
28,PEITIN PIKINININ DA BUNDA GRANDONA ✨🐍🍑,"São José do Rio Preto, Brasil",2022-09-27 23:29:41+00:00,"Amigos que vão no tusca , vamos conversar ??? 🤧",
29,Léo ⭐️1️⃣3️⃣⭐️,Minas uai,2022-09-27 23:29:13+00:00,@h4tter_ Cê vai no tusca amiga?,
30,Julha,,2022-09-27 23:27:02+00:00,"O MAIOR TA CONFIRMADISSIMO NO TUSCA

GBR TE AMO",
31,Isabela,,2022-09-27 23:26:45+00:00,tusca pf pare de anunciar novas atrações tem gente chorando!! 😡😭,
32,Lusca O Medíocre,,2022-09-27 23:26:00+00:00,cada vez mais difícil vender o tusca,
33,lancinho,"Indaiatuba, Brasil",2022-09-27 23:24:17+00:00,finalmente vou ver um show do dj gbr!!!!!!!!! obrigada tusca 🫶🏻,
34,leão,,2022-09-27 23:15:27+00:00,e o mais brabo confirmado no tusca,
35,Magno Moura,,2022-09-27 23:14:18+00:00,GBR no tusca agora sim 🥳🥳,
36,madruga,,2022-09-27 23:13:37+00:00,o que eu tô ansioso pro tusca não tá escrito,
37,gabi,,2022-09-27 23:13:20+00:00,pegaram todas as atrações do tusca 2019 e colocaram a luisa sonza junto que odioooooo,
38,guilli | HotD | Midnights,"São Carlos, Brasil",2022-09-27 23:12:29+00:00,"Me botaram tanto medo em relação ao tusca, tô sentindo que gastei *** reais com isso à toa https://t.co/dxIyNwFDxp",
39,dri,,2022-09-27 23:11:48+00:00,porra gbr no@tusca queria agradecer nao so a deus mas tambem a jesus,
40,Atraso em português,,2022-09-27 23:11:04+00:00,"porra até GBR no tusca manoooooo

inter entregando nada q ódio",
41,Marina,,2022-09-27 23:09:52+00:00,"Gbr no tusca e em campinas dia 12, é sobre",
42,Nalaura 🏳️‍🌈,"São Paulo, Brasil",2022-09-27 23:09:32+00:00,"GBR vai fazer o novo show no Tusca, apenas esqueça tudoooo 🙅🏼‍♀️🙅🏼‍♀️",
43,md,,2022-09-27 23:08:27+00:00,GBR NO TUSCA SE UM DIA FUI TRISTE EU NAO ME LEMBRO AAAAAAAAAtomar um banho de chuvaaaaaa,
44,Carou é 13 ⭐️,,2022-09-27 23:06:42+00:00,"GBR no Tusca, OBRIGADA MEU DEEEEEUS",
45,Thaís Silva,,2022-09-27 23:06:19+00:00,"Gbr confirmado no tusca, agora posso comprar em paz 🙏🏻",
46,Mééééé,"Bauru, São Paulo",2022-09-27 22:58:27+00:00,"Pensando seriamente em pedir férias pós inter, pq não vou ter um resquício sequer de saúde dps de 3 dias de inter e 1 dia de tusca",
47,Casaro,Jambalaya Ocean Drive,2022-09-27 22:31:30+00:00,RT @BotTusca: Faltam 46 dias para o início do TUSCA,
48,Pacheco016 ®️👑,$,2022-09-27 22:25:20+00:00,RT @Lulu10740866: Vendo dois pacotes completos tusca estudante por 550 cada,
49,uolbol,"São Carlos, Brasil",2022-09-27 22:19:25+00:00,Ganhei a campus party na faixa mermao é isso(mesmo dia do tusca agora tô pensando pensamentos),
50,FECHADO COM VP,"Franca, Brasil",2022-09-27 22:16:07+00:00,RT @Lulu10740866: Vendo dois pacotes completos tusca estudante por 550 cada,
51,diamba vencida,Piraporinha Da Serra ,2022-09-27 22:08:31+00:00,tou achando que vou comprar o tusca e fodase as minhas responsabilidades,
52,biel,"Franca, Brasil",2022-09-27 21:55:08+00:00,RT @Lulu10740866: Vendo dois pacotes completos tusca estudante por 550 cada,
53,LLLetu,,2022-09-27 21:49:22+00:00,Alguém afim de comprar só a caneca do tusca? Quero o tirante e não vende separado,
54,Nalu 🐢,"Franca, Brasil",2022-09-27 21:30:33+00:00,Vendo dois pacotes completos tusca estudante por 550 cada,
