,user_name,user_location,date,text,rating
0,Julia no motocross,,2022-10-02 20:02:30+00:00,"No tusquinha quase voltei com 2 piercings, mas acabou sendo apenas a sobrancelha chaveada e o tornozelo machucado https://t.co/kNxmyhgyIr",
1,fredderica,,2022-10-02 18:55:40+00:00,"RT @felpcbr: vermelho contra amarelo, entao esse é o tusquinha 3.0??? já sabemos qual o melhor lado!!",
2,brambila,,2022-10-02 17:13:20+00:00,"vermelho contra amarelo, entao esse é o tusquinha 3.0??? já sabemos qual o melhor lado!!",
3,Pofi Bela,,2022-10-01 05:31:34+00:00,"Dei match com uma menina q eu conheci no tusquinha 
detalhe, dps de uns corotes 
ai ela virou e falou ""moça, vc é a menina q tava com a irmã e os amigos no tusquinha?""
ela lembrou q eu sou tagarela, ai vergonha",
4,vou.contar.pra.deus.rafa.kaliman.singing.mp3,"São Carlos, Brasil",2022-10-01 02:15:52+00:00,"@zabelaramos Amg eu até hoje não lembro de ter visto, mas no tusquinha tavam falando sobre essa briga... KKKKKKKKKKKKK",
5,.daniel,"São Carlos, Brasil",2022-09-28 00:47:39+00:00,o sangue de jesus tem poder voltei pra academia hj depois de 2 semanas e meu prof disse que conversei horrores com ele no Tusquinha (EU NAO FAZIA IDEIA DE QUE TINHA VISTO ESSE HOMEM NO TUSQUINHA) https://t.co/jteJ0qx2vL,
6,atriz,,2022-09-27 22:19:28+00:00,"depois de esfregar rejunte por rejunte, meu chuveiro finalmente se recuperou do tusquinha",
7,aninha ✿,"Indaiatuba, Brasil",2022-09-26 19:05:53+00:00,"vivo pelos roles que tenho comprados, não vejo a hr de um tusquinha mds",
8,gabr13l s.,"São Carlos, Brasil",2022-09-26 01:19:06+00:00,dou uma pequena risada toda vez que lembro que o caaso tinha esperanca de ganhar o tusquinha 2.0,
9,Brombrom,,2022-09-25 14:35:16+00:00,Literalmente eu no tusquinha https://t.co/3POYESSNW2,
10,carimbo,,2022-09-25 06:41:35+00:00,"chegando em casa depois de tusquinha, banana, chernobio, bailão e afters",
11,Usp está me matando,,2022-09-24 04:14:43+00:00,"RT @cansadasso: O pessoal fretou um caminhão pra ir para o tusquinha, a galera já tá em 3022 tá louco https://t.co/WHl6N4s77y",
12,gal e ganache,"Piracicaba, Brasil",2022-09-24 01:08:00+00:00,@loupguara @naliryvisk Tusquinha e reunião da reo no dia me fudeo 😭,
13,bia agora tem amigos em sanca 💪,ela(eu)/dela(hwang yeji),2022-09-23 21:28:43+00:00,"ai que não sei oq isso, não sei oq aquilo
foda-se, eu tenho uma medalha do tusquinha",
14,ɐןןǝqɐsı,031,2022-09-23 19:46:13+00:00,"@Muvilanii por isso que a medalha do tusquinha tá contigo né, o brabo.",
15,gal e ganache,"Piracicaba, Brasil",2022-09-23 19:31:06+00:00,"Lembrei que cancelei o cinema com meu casal por causa do tusquinha, voltei a ser triste",
16,trident menta,,2022-09-23 17:14:18+00:00,saudades tusquinha 2022.2.1 saudades,
17,ɐןןǝqɐsı,031,2022-09-23 16:44:08+00:00,"loucura pensar que eu deixei de estudar na terça pra ir pro tusquinha, disse que não ia beber mas misturei uma caralhada de bebida, cheguei em casa duas da manhã pra ir fazer a prova de cálculo do dia seguinte ainda com álcool no corpo e ainda consegui tirar quase 10, loucura!",
18,ana luiza,,2022-09-23 13:05:26+00:00,RT @giovannapolozzi: nao valeu a pena ter perdido a voz pelo tusquinha,
19,polozzi,Sao Carlos,2022-09-23 12:10:45+00:00,nao valeu a pena ter perdido a voz pelo tusquinha,
20,júlia,Minas Gerais,2022-09-23 02:37:31+00:00,A felicidade depois de marcar 4 vezes no Tusquinha e garantir a medalha https://t.co/pYlSY6TUMe,
21,Luosa Mouta,,2022-09-23 01:04:54+00:00,O tusquinha passou e com ele ficou minha voz eu estou apenas incapaz de manter uma conversa por motivos de totalmente rouca,
